AES	AES	-1	-1	1	1
AIB1	AIB1	-1	-1	1	0.974
AIB1	SP1	1	1	1	0.468
AKT1	AKT1	-1	-1	1	1
BIRC5	BIRC5	-1	-1	1	1
BRCA1	BRCA1	-1	-1	1	1
BRD4	BRD4	-1	-1	1	0.776
BRD4	DVL3	-1	-1	1	0.257
BRD4	SP1	1	1	1	0.632
BYSL	BRD4	1	1	1	0.456
BYSL	CEBPB	1	1	1	0.501
BYSL	CTNNB1	-1	-1	1	0.244
BYSL	DP1	-1	-1	1	0.257
BYSL	E2F4	-1	-1	1	0.616
BYSL	FOXM1C	1	1	1	0.902
BYSL	GNL3	-1	-1	1	0.306
BYSL	JUN	1	1	1	0.22
BYSL	LKB1	1	1	1	0.638
BYSL	MIZ1	-1	-1	1	0.793
BYSL	MYB	-1	-1	1	0.888
BYSL	MYC	1	1	1	0.267
BYSL	P107	1	1	1	0.273
BYSL	P300	-1	-1	1	0.22
BYSL	RELA	1	1	1	0.541
BYSL	SP1	1	1	1	0.706
BYSL	STAT5B	1	1	1	0.336
BYSL	TCF7L2	-1	-1	1	0.658
BYSL	TIF1B	1	1	1	0.875
BYSL	YY1	-1	-1	1	0.271
CCNB1	CCNB1	-1	-1	1	0.889
CEBPB	CEBPB	-1	-1	1	0.999
CEBPB	SP1	1	1	1	0.37
CHUK	CHUK	-1	-1	1	1
CHUK	TBP	1	1	1	0.23
CTNNB1	CTNNB1	-1	-1	1	1
DP1	DP1	-1	-1	1	1
DP2	DP2	-1	-1	1	0.784
DVL3	BRCA1	-1	-1	1	0.519
DVL3	CCNB1	1	1	1	0.544
DVL3	DP1	1	1	1	0.372
DVL3	DVL3	-1	-1	1	0.821
DVL3	E2F4	1	1	1	0.954
DVL3	FOXM1C	-1	-1	1	0.558
DVL3	GCN1L1	-1	-1	1	0.281
DVL3	GNL3	-1	-1	1	0.665
DVL3	JUN	1	1	1	0.625
DVL3	MAX_1	1	1	1	0.849
DVL3	MIZ1	1	1	1	0.926
DVL3	MYC	1	1	1	0.562
DVL3	MYCBP	-1	-1	1	0.805
DVL3	P107	-1	-1	1	0.853
DVL3	P300	1	1	1	0.874
DVL3	P53	1	1	1	0.54
DVL3	RELA	1	1	1	0.452
DVL3	RPL11	-1	-1	1	0.405
DVL3	SP1	1	1	1	0.254
DVL3	STAT3	-1	-1	1	0.258
DVL3	STAT5B	-1	-1	1	0.242
DVL3	TCF7L2	-1	-1	1	0.324
DVL3	YY1	1	1	1	0.38
E2F4	E2F4	-1	-1	1	0.997
E2F4	GCN1L1	1	1	1	0.242
ENO1	ENO1	-1	-1	1	0.92
FOXM1C	FOXM1C	-1	-1	1	0.936
FOXM1C	MYC	-1	-1	1	0.315
GCN1L1	GCN1L1	-1	-1	1	0.986
GCN1L1	SP1	1	1	1	0.347
GNL3	AIB1	-1	-1	1	0.346
GNL3	BIRC5	1	1	1	0.365
GNL3	BRCA1	-1	-1	1	0.488
GNL3	BRD4	-1	-1	1	0.371
GNL3	BYSL	1	1	1	0.258
GNL3	CCNB1	1	1	1	0.389
GNL3	CEBPB	-1	-1	1	0.341
GNL3	CHUK	1	1	1	0.543
GNL3	DP1	1	1	1	0.85
GNL3	DP2	1	1	1	0.328
GNL3	DVL3	1	1	1	0.445
GNL3	E2F4	1	1	1	0.984
GNL3	ENO1	-1	-1	1	0.239
GNL3	FOXM1C	-1	-1	1	0.847
GNL3	GCN1L1	-1	-1	1	0.268
GNL3	GNL3	1	1	1	0.308
GNL3	JUN	1	1	1	0.776
GNL3	LKB1	-1	-1	1	0.664
GNL3	MAX_1	1	1	1	0.554
GNL3	MIZ1	1	1	1	0.873
GNL3	MYB	-1	-1	1	0.814
GNL3	MYCBP	-1	-1	1	0.658
GNL3	P107	-1	-1	1	0.726
GNL3	P300	1	1	1	0.388
GNL3	P53	1	1	1	0.331
