AES	AES	-1	-1	1	0.999
AIB1	AIB1	-1	-1	1	0.834
AKT1	AKT1	-1	-1	1	0.958
BIRC5	BIRC5	-1	-1	1	0.987
BRCA1	BRCA1	-1	-1	1	0.948
BRD4	BRD4	-1	-1	1	0.316
BRD4	SP1	1	1	1	0.197
BYSL	BRD4	1	1	1	0.107
BYSL	CCNB1	-1	-1	1	0.067
BYSL	CEBPB	1	1	1	0.237
BYSL	E2F4	-1	-1	1	0.412
BYSL	FOXM1C	1	1	1	0.678
BYSL	GNL3	-1	-1	1	0.12
BYSL	JUN	1	1	1	0.074
BYSL	LKB1	1	1	1	0.322
BYSL	MIZ1	-1	-1	1	0.486
BYSL	MYB	-1	-1	1	0.621
BYSL	MYC	1	1	1	0.077
BYSL	RELA	1	1	1	0.215
BYSL	SP1	1	1	1	0.466
BYSL	STAT5B	1	1	1	0.08
BYSL	TCF7L2	-1	-1	1	0.354
BYSL	TIF1B	1	1	1	0.681
BYSL	YY1	-1	-1	1	0.084
CCNB1	CCNB1	-1	-1	1	0.394
CEBPB	CEBPB	-1	-1	1	0.926
CHUK	CHUK	-1	-1	1	1
CHUK	TBP	1	1	1	0.079
CTNNB1	CTNNB1	-1	-1	1	1
DP1	DP1	-1	-1	1	1
DP2	DP2	-1	-1	1	0.152
DVL3	AIB1	1	1	1	0.079
DVL3	BRCA1	-1	-1	1	0.212
DVL3	BYSL	-1	-1	1	0.066
DVL3	CCNB1	1	1	1	0.413
DVL3	DVL3	-1	-1	1	0.679
DVL3	E2F4	1	1	1	0.83
DVL3	FOXM1C	-1	-1	1	0.336
DVL3	GCN1L1	-1	-1	1	0.091
DVL3	GNL3	-1	-1	1	0.471
DVL3	JUN	1	1	1	0.385
DVL3	MAX_1	1	1	1	0.479
DVL3	MIZ1	1	1	1	0.774
DVL3	MYC	1	1	1	0.351
DVL3	MYCBP	-1	-1	1	0.451
DVL3	P107	-1	-1	1	0.505
DVL3	P300	1	1	1	0.502
DVL3	RB1	-1	-1	1	0.068
DVL3	RELA	1	1	1	0.128
DVL3	RPL11	-1	-1	1	0.155
DVL3	SP1	1	1	1	0.111
DVL3	STAT5B	-1	-1	1	0.098
DVL3	TCF7L2	-1	-1	1	0.068
DVL3	YY1	1	1	1	0.104
E2F4	E2F4	-1	-1	1	0.935
ENO1	ENO1	-1	-1	1	0.308
FOXM1C	FOXM1C	-1	-1	1	0.554
GCN1L1	GCN1L1	-1	-1	1	0.834
GNL3	AIB1	-1	-1	1	0.125
GNL3	BIRC5	1	1	1	0.066
GNL3	BRCA1	-1	-1	1	0.157
GNL3	BRD4	-1	-1	1	0.152
GNL3	BYSL	1	1	1	0.123
GNL3	CEBPB	-1	-1	1	0.16
GNL3	DP1	1	1	1	0.124
GNL3	DP2	1	1	1	0.104
GNL3	DVL3	1	1	1	0.232
GNL3	E2F4	1	1	1	0.933
GNL3	ENO1	-1	-1	1	0.07
GNL3	FOXM1C	-1	-1	1	0.632
GNL3	GCN1L1	-1	-1	1	0.09
GNL3	GNL3	1	1	1	0.186
GNL3	JUN	1	1	1	0.667
GNL3	LKB1	-1	-1	1	0.403
GNL3	MAX_1	1	1	1	0.232
GNL3	MIZ1	1	1	1	0.733
GNL3	MYB	-1	-1	1	0.611
GNL3	MYC	-1	-1	1	0.092
GNL3	MYCBP	-1	-1	1	0.4
GNL3	P107	-1	-1	1	0.404
GNL3	P300	1	1	1	0.129
GNL3	SP1	-1	-1	1	0.456
GNL3	STAT5B	-1	-1	1	0.111
GNL3	TBP	-1	-1	1	0.15
GNL3	TCF7L2	-1	-1	1	0.311
GNL3	TIF1B	-1	-1	1	0.298
GNL3	YY1	1	1	1	0.129
JUN	BRCA1	-1	-1	1	0.096
JUN	BYSL	-1	-1	1	0.311
JUN	CCNB1	1	1	1	0.115
JUN	CEBPB	1	1	1	0.189
JUN	DP2	1	1	1	0.079
JUN	E2F4	-1	-1	1	0.525
JUN	ENO1	-1	-1	1	0.164
JUN	GCN1L1	1	1	1	0.189
